Product Backlog Story,Sprint task,Story point,Volunteer,Planned Hours,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Setup architettura definita per avvio con schermata vuota,,4,,,0,,,,,,
,Inizializzazione engine Indigo,,Alan - Federico,2 h,,,,,,,
,Definizione basilare delle classi per le 4 scene,,Alan - Federico,1 h,,,,,,,
,Definizione basilare della classe Model composta dai Model delle 4 scene,,Alan - Federico,1 h,,,,,,,
Setup CI/CD,,3,Alan - Federico,30 min,3,0,,,,,
Come utente voglio vedere il menu all'avvio,,3,,,3,3,2,0,,,
,Boot basilare con caricamento asset bottone,,Alan,1 h,,,,,,,
,Implementazione MenuScene,,Alan,30 min,,,,,,,
,ViewPort Fullscreen,,Alan,1 h,,,,,,,
,Refactor MenuScene,,Alan,1 h,,,,,,,
Come utente voglio avviare la partita,,15,,,15,15,12,10,8,5,0
,Implementazione GameModel base,,Federico - Alan,1 h,,,,,,,
,Implementazione GameScene con dungeon con una stanza vuota,,Federico - Alan,5 h,,,,,,,
,Implementazione LoadingScene e caricamento asset,,Federico,7 h,,,,,,,
,Ricerca asset,,Federico - Matteo,2 h,,,,,,,
Come utente voglio controllare il mio personaggio nella stanza,,15,,,15,10,8,8,8,5,3
,Model del personaggio,,Matteo,4 h,,,,,,,
,Implementazione controllo da tastiera,,Matteo,4 h,,,,,,,
,Estrarre singoli asset dall'immagine,,Matteo - Alan,2 h,,,,,,,
,Visualizzazione del personaggio con corpo + testa + ombra,,Matteo,4 h,,,,,,,
Trovare scala linter per intellij,,1,Matteo,30 min,1,1,1,0,,,
Refactor con scalafmt linter ,,1,Matteo,30 min,1,1,1,0,,,
Refactor con Scala Conversion in Empty Scene,,1,Federico,30 min,1,1,1,0,,,
