Product Backlog Story,Sprint task,Story point,Volunteer,Planned Hours,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Miglioramenti a interfaccia prolog,,2,Alan,,2,2,1,0,,,
Come utente voglio delle stanze in cui sono presenti oggetti,,6,,,6,6,6,3,1,0,
,Creazione oggetti e relative stats,,Matteo,2h,,,,,,,
,Gestione della collisione con l'oggetto,,Federico,2h,,,,,,,
,Inserire l'oggetto solo nelle stanze dedicate al centro,,Matteo,2h,,,,,,,
Come utente voglio visualizzare una mini mappa del dungeon,,6,Alan,,6,6,6,3,2,0,
Refactor view dei nemici,,12,Matteo,12h,12,10,8,4,0,,
Fix blocco di Traveller se impossibilitato nel percorso,,2,Alan,2h,2,0,,,,,
Parabite hide,,1,Alan,1h,1,0,,,,,
Esplosioni dei nemici,,2,Federico,2h,2,0,,,,,
Miglioramenti a generazione dungeon,,3,Alan,3h,3,3,0,,,,
"Plurale su cartelle ""enemy"" e ""element""",,1,Matteo,1h,1,0,,,,,
Colori diversi per shot,,1,Matteo,1h,1,0,,,,,
Come utente voglio che le stanze abbiano degli elementi bloccanti,,6,,,6,6,5,4,3,2,1
,Algoritmo Prolog disposizione elementi bloccanti,,Federico,5h,,,,,,,
,Integrazione Prolog Scala,,Federico,1h,,,,,,,
Come utente voglio che il personaggio possa morire e la partita termini,,2,,,2,2,0,,,,
,Esplosione del character,,Federico,1h,,,,,,,
,Messaggio di GameOver,,Federico,1h,,,,,,,
,,,,,,,,,,,
    ,,,,,,,,,,,
